Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
632,7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4
633,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
634,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5
635,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
636,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6
637,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7
638,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
639,7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7
640,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5
641,7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5
642,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7
643,5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6
644,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5
645,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
646,12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6
647,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
648,8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6
649,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4
650,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
651,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
652,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
653,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
654,12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5
655,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
656,7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,6
657,7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5
658,11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5
659,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5
660,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
661,7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5
662,7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5
663,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
664,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6
665,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5
666,7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5
667,7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6
668,7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
669,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7
670,9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,5
671,9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,6
672,6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5
673,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5
674,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
675,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
676,6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5
677,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
678,12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6
679,10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6
680,6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6
681,11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6
682,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5
683,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5
684,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
685,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
686,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5
687,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6
688,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6
689,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5
690,9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
691,7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
692,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
693,9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5
694,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5
695,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
696,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5
697,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5
698,7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6
699,7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5
700,12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6
701,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
702,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4
703,8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
704,9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6
705,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
706,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
707,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6
708,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
709,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
710,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
711,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5
712,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6
713,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
714,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6
715,11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
716,6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6
717,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7
718,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
719,9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6
720,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5
721,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5
722,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6
723,11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,6
724,8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5
725,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5
726,6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7
727,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
728,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5
729,8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,6
730,7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5
731,7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
732,6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6
733,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
734,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7
735,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5
736,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
737,8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,6
738,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
739,6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5
740,6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6
741,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
742,8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6
743,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
744,6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6
745,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
746,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5
747,8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
748,6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5
749,10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6
750,9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5
751,10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6
752,10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4
753,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
754,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
755,9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
756,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6
757,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
758,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6
759,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
760,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5
761,7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7
762,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
763,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6
764,9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5
765,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6
766,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6
767,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
768,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
769,6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6
770,9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,5
771,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5
772,10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6
773,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5
774,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6
775,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
776,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
777,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5
778,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
779,5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6
780,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
781,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6
782,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5
783,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7
784,6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6
785,7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6
786,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
787,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
788,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6
789,9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5
790,8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7
791,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4
792,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6
793,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6
794,8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5
795,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5
796,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
797,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,6
798,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6
799,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5
